Association,Fermi Name,CGRABS Name,Class,dec,RA,Redshift,Fermi-LAT Flux,Disk Luminosity,BLR Radius,Muon Neutrino Flux Best Fit,Muon Neutrino Flux Min,Muon Neutrino Flux Max,IceCube Event Rate Best Fit,IceCube Event Rate Min,IceCube Event Rate Max,Neutrino Peak Energy Best Fit,Blob Radius Best Fit,B-Field Best Fit,Bulk Lorentz Best Fit,Dissipation Radius Best Fit,Electron Luminosity Best Fit,Electron Max Lorentz Factor Best Fit,Electron Min Lorentz Factor Best Fit,Electron Spectral Index Best Fit,Proton Luminosity Best Fit,Proton Luminosity Min,Proton Luminosity Max,Proton Max Lorentz Factor Best Fit,Proton Min Lorentz Factor Fixed,Proton Spectral Index Fixed
PKS 1502+036,3FGL J2036.8-2830,CGRABS J1505+0326,NLS1,3.44720005989075,226.272598266602,0.41,1.6070925840105898e-11,6.025595860743593e+44,7.714193953667979e+16,0.0,0.0,2.58444466067711e-14,0.0,0.0,0.0019460949916407018,0.29978294595541993,3.43e+16,0.124,5.78,0.0,3.24e+43,15500.0,39.8,1.36,0.0,0.0,3.7414936303938446e+46,0.0,0,1.0
TXS 1318+225,3FGL J2036.8-2830,CGRABS J1321+2216,FSRQ,22.2807998657227,200.295806884766,0.94,2.16248772361149e-11,3.9810717055349855e+45,2.0056904279536746e+17,0.0,0.0,2.5836273926966114e-14,0.0,0.0,0.0004160450333637943,1.8682804124321875,2.15e+16,0.55,27.2,3.42e+17,7.46e+41,266000.0,102.0,2.81,0.0,0.0,8.016574399277028e+43,0.0,0,1.0
B2 2155+31,3FGL J2036.8-2830,CGRABS J2157+3127,FSRQ,31.4552001953125,329.386199951172,1.49,3.3221023154617096e-11,5.4954087385762707e+45,2.3451149619150653e+17,0.0,0.0,2.4876789409946398e-14,0.0,0.0,0.0015100077506872633,0.6586387537868982,9.67e+16,0.178,8.25,3.73e+17,1.13e+44,13900.0,10.3,1.19,0.0,0.0,2.8795753252166617e+46,0.0,0,1.0
PKS 0338-214,3FGL J2036.8-2830,CGRABS J0340-2119,IBL,-21.3157997131348,55.1477012634277,0.22,9.34310441513819e-12,4.466835921509617e+43,2.159974307027034e+16,0.0,0.0,2.2648441441155283e-14,0.0,0.0,0.000999216233176587,0.8746390800246632,7.63e+16,0.189,8.85,0.0,3.89e+42,25200.0,33.5,2.02,0.0,0.0,3.134726110392164e+46,0.0,0,1.0
PKS 1454-354,3FGL J2036.8-2830,CGRABS J1457-3539,FSRQ,-35.6526985168457,224.365707397461,1.42,3.7740244956951895e-11,3.9810717055349855e+46,6.29478226619307e+17,0.0,0.0,2.2136390904008597e-14,0.0,0.0,0.0005886557314050643,1.1563220710149384,2.19e+16,0.409,21.0,1.06e+18,7.49e+42,24600.0,14.9,1.89,0.0,0.0,7.49e+44,0.0,0,1.0
PKS 0700-465,3FGL J2036.8-2830,CGRABS J0701-4634,FSRQ,-46.572898864746094,105.390602111816,0.82,1.4840384129910498e-11,1.2882495516931323e+45,1.1417007051428608e+17,0.0,0.0,2.121845290763522e-14,0.0,0.0,0.0011150885581513988,0.6020577242963965,2.39e+16,0.379,11.1,2.06e+17,1.19e+43,70700.0,430.0,2.45,0.0,0.0,5.0181883908001286e+45,0.0,0,1.0
PKS 2131-021,3FGL J2036.8-2830,CGRABS J2134-0153,LBL,-1.9041999578476,323.569885253906,1.28,1.2249362982275098e-11,3.3113112148259345e+45,1.820549773065643e+17,0.0,0.0,1.8684193909184917e-14,0.0,0.0,0.0016461545892828369,0.21155145006506584,9.42e+16,0.448,5.4,0.0,2.45e+44,18200.0,159.0,1.28,0.0,0.0,3.040297513841713e+46,0.0,0,1.0
B3 0650+453,3FGL J2036.8-2830,CGRABS J0654+4514,FSRQ,45.2445983886719,103.606002807617,0.93,1.7467003537996497e-11,1e+45,9.874168260695013e+16,0.0,0.0,1.8512835470600702e-14,0.0,0.0,0.0009507549031812904,0.6048427213775299,2.46e+16,0.238,10.7,1.75e+17,1.76e+43,91600.0,231.0,2.2,0.0,0.0,6.427064639685143e+45,0.0,0,1.0
PKS 2029+121,3FGL J2036.8-2830,CGRABS J2031+1219,LBL,12.3278999328613,308.003997802734,1.22,6.55874009616864e-12,5.754399373371543e+44,7.714193953667979e+16,0.0,0.0,1.8384391579255698e-14,0.0,0.0,0.000941342218841567,0.6316896652093009,2.26e+16,0.213,15.7,0.0,7.91e+42,27300.0,159.0,2.0,0.0,0.0,1.4066190133407876e+46,0.0,0,1.0
PKS 2005-489,3FGL J2036.8-2830,CGRABS J2009-4849,HBL,-48.8247985839844,302.359497070313,0.07,3.3502246116201594e-11,1.905460717963252e+43,1.2342710325868766e+16,0.0,0.0,1.7349922156938946e-14,0.0,0.0,0.00036218921202441724,1.4944189115386655,4.6e+16,0.204,12.0,0.0,2.63e+41,172000.0,9910.0,1.92,0.0,0.0,1.28072459118622e+44,0.0,0,1.0
