Association,Fermi Name,CGRABS Name,Class,dec,RA,Redshift,Fermi-LAT Flux,Disk Luminosity,BLR Radius,Muon Neutrino Flux Best Fit,Muon Neutrino Flux Min,Muon Neutrino Flux Max,IceCube Event Rate Best Fit,IceCube Event Rate Min,IceCube Event Rate Max,Neutrino Peak Energy Best Fit,Blob Radius Best Fit,B-Field Best Fit,Bulk Lorentz Best Fit,Dissipation Radius Best Fit,Electron Luminosity Best Fit,Electron Max Lorentz Factor Best Fit,Electron Min Lorentz Factor Best Fit,Electron Spectral Index Best Fit,Proton Luminosity Best Fit,Proton Luminosity Min,Proton Luminosity Max,Proton Max Lorentz Factor Best Fit,Proton Min Lorentz Factor Fixed,Proton Spectral Index Fixed
PKS 0426-380,3FGL J2036.8-2830,CGRABS J0428-3756,LBL,-37.940299987793,67.1729965209961,1.1,2.13844802976482e-10,1e+46,3.147391133096535e+17,6.96855761428078e-12,2.1890289583015364e-13,7.966671875820557e-12,0.26179993188959944,0.009235929380027492,0.2983512982557792,1.0540310301421205,1.62e+16,0.0481,13.6,0.0,4.77e+43,42600.0,134.0,1.46,9.26e+47,9.26e+46,9.950868490255399e+47,1610000.0,100,1.0
PKS B0802-010,3FGL J2036.8-2830,CGRABS J0805-0111,FSRQ,-1.18099999427795,121.300399780273,1.39,8.12099606312122e-12,2.511886431509572e+46,4.967940906162178e+17,3.3350909833146857e-12,1.8552511889626105e-12,3.865777977549213e-12,0.31257190087262043,0.1735927226570301,0.36251599463624046,0.17787062336392037,1490000000000000.0,0.462,19.3,4.97e+17,1.12e+43,1000.0,10.3,3.0,1.3e+46,7.310437227474538e+45,1.5012165800962957e+46,140000.0,100,1.0
GB6 J0654+5042,3FGL J2036.8-2830,CGRABS J0654+5042,FSRQ,50.7027015686035,103.596199035645,1.25,1.3098474561934499e-11,9.120108393559115e+44,9.565600502548293e+16,3.0572726222505892e-12,1.4884631827865113e-13,3.2854261236693336e-12,0.062975371916446,0.003066075027269761,0.06767490389345315,1.207348978660019,6550000000000000.0,2.64,24.9,1.04e+17,2.8e+41,1260.0,568.0,1.89,1.21e+44,5.892307054506943e+42,1.3002754722687939e+44,1580000.0,100,1.0
S4 1849+67,3FGL J2036.8-2830,CGRABS J1849+6705,FSRQ,67.0908966064453,282.319213867188,0.66,4.98978774965408e-11,3.019951720401995e+45,1.7279794456216272e+17,2.71550900651353e-12,1.6405709907914426e-12,2.9182417951326194e-12,0.027788080228873992,0.01678620816497144,0.029863309884820406,2.7059216407945703,3.64e+16,0.753,18.5,2.36e+17,1.62e+42,8410.0,20.8,2.04,2.97e+44,1.7947602790072544e+44,3.1915852501143125e+44,2680000.0,100,1.0
AP Librae,3FGL J2036.8-2830,CGRABS J1517-2422,IBL,-24.3729991912842,229.425399780273,0.05,6.44101716407164e-11,1.513561248436207e+43,1.2342710325868766e+16,1.9945565286089752e-12,1.2461965096638668e-12,2.1606465541874356e-12,0.008660093761158073,0.0050771758006221135,0.009498790571296616,7.610018887672764,1.86e+17,0.0481,4.03,0.0,1.11e+43,63800.0,305.0,2.11,4.18e+46,2.714415219988563e+46,4.491860722383107e+46,14000000.0,100,1.0
PKS 1954-388,3FGL J2036.8-2830,CGRABS J1957-3845,FSRQ,-38.7546997070313,299.502593994141,0.63,3.3182789849206496e-11,1e+46,3.147391133096535e+17,1.2954662826915567e-12,6.211594888386313e-13,2.9669191090443584e-12,0.11513937654150048,0.056086990256817605,0.2594738730537592,0.20080571001639017,1000000000000000.0,1.09,24.5,1.17e+18,5.23e+41,6180.0,61.6,1.86,4.74e+46,2.86436488972875e+46,7.84383305373068e+46,132000.0,100,1.0
TXS 0938-133,3FGL J2036.8-2830,CGRABS J0941-1335,FSRQ,-13.5890998840332,145.243804931641,0.55,9.46780241012357e-12,3.8904514499428366e+45,1.9748336521390026e+17,1.018544629076264e-12,5.721144796286848e-13,1.2647516258251678e-12,0.09066774401902329,0.05091763772361197,0.11259699497182872,0.254370153372284,1000000000000000.0,0.597,17.9,1.93e+17,1.63e+41,1900.0,39.1,2.56,1.02e+45,5.735881516941561e+44,1.2657565159667538e+45,100000.0,100,1.0
B2 2234+28A,3FGL J2036.8-2830,CGRABS J2236+2828,FSRQ,28.4832000732422,339.09619140625,0.8,4.10382838822443e-11,2.3442288153199083e+45,1.5119820149189238e+17,9.950015544337608e-13,1.5321518420753278e-13,1.7694730493193225e-12,0.04043344099604251,0.006226017583194253,0.0719065793557523,0.6619419000735759,6.43e+16,0.505,19.9,1.85e+17,7.83e+41,3880.0,24.7,1.44,1.92e+44,2.9566589300342247e+43,3.414296467274732e+44,415000.0,100,1.0
PKS 2201+171,3FGL J2036.8-2830,CGRABS J2203+1725,FSRQ,17.4318008422852,330.872100830078,1.08,3.5837905559832396e-11,5.754399373371542e+45,2.4068285135444093e+17,9.553911001494932e-13,2.1080710241196254e-13,9.553911001494932e-13,0.0007757096787222763,0.0001710575040303726,0.0007757096787222763,16.474436613835913,2e+17,0.587,19.1,9.48e+17,2.32e+42,5580.0,1500.0,2.24,7.76e+43,1.7124256376096418e+43,7.76e+43,9540000.0,100,1.0
PKS 1104-445,3FGL J2036.8-2830,CGRABS J1107-4449,FSRQ,-44.8322982788086,166.77490234375,1.6,1.3310666804877699e-11,8.912509381337514e+46,9.442173399289605e+17,8.229101563443888e-13,3.982326390248933e-13,9.52070859482815e-13,0.0013792131903049938,0.0006447421319191154,0.0016119417771774504,9.837536346013321,2e+17,0.429,12.9,3.64e+18,2e+43,9530.0,609.0,2.22,3.84e+45,1.8699552966369145e+45,4.43436282120752e+45,9860000.0,100,1.0
S4 1030+41,3FGL J2036.8-2830,CGRABS J1033+4116,FSRQ,41.2620010375977,158.275207519531,1.12,1.4117301078142599e-11,1.0964781961431829e+46,3.3016750121698944e+17,6.080405092265748e-13,1.789083235613072e-13,8.108809166372922e-13,0.0005285720709924484,0.00015541610737195504,0.0007051368287132379,14.724953322334027,2e+17,0.461,17.4,1.21e+18,2.5e+42,13500.0,437.0,2.82,9.81e+43,2.8868153598613057e+43,1.3081845249522209e+44,10000000.0,100,1.0
TXS 2331+073,3FGL J2036.8-2830,CGRABS J2334+0736,FSRQ,7.6020002365112305,353.557312011719,0.4,6.6755325225931195e-12,4.4668359215096165e+45,2.0982607553976902e+17,5.62262969252691e-13,1.851657009450053e-13,6.114287740149106e-13,0.054461504137652564,0.017643909513293,0.05932861085369205,0.14377844973862502,6770000000000000.0,1.97,6.77,2.13e+17,3.94e+42,1090.0,784.0,2.64,3.7e+46,1.3511442708428994e+46,3.9760489647888745e+46,184000.0,100,1.0
S5 1053+81,3FGL J2036.8-2830,CGRABS J1058+8114,FSRQ,81.2546997070313,164.625503540039,0.71,6.29818809952387e-12,3.4673685045253093e+45,1.8514065488803146e+17,4.994776571067513e-13,2.2609592066404685e-13,6.201181955183428e-13,0.001545115362367668,0.0006981581468260289,0.0019198339881466788,12.552326681165484,3.7e+16,1.0,21.8,3.15e+17,3.2e+41,18100.0,111.0,2.69,1.36e+44,6.162953747137114e+43,1.6876753546223386e+44,4680000.0,100,1.0
PMN J0850-1213,3FGL J2036.8-2830,CGRABS J0850-1213,FSRQ,-12.2121000289917,132.541198730469,0.57,2.3292832940224896e-11,8.912509381337514e+44,9.257032744401573e+16,4.884770090532162e-13,1.9167719990916525e-13,4.884770090532162e-13,0.0003376637136056613,0.00013244442768537836,0.0003376637136056613,18.056738127594947,1.61e+17,0.636,19.3,3.49e+17,3.97e+41,6330.0,700.0,2.18,2.64e+43,1.0359860962399177e+43,2.64e+43,6860000.0,100,1.0
PKS 1145-071,3FGL J2036.8-2830,CGRABS J1147-0724,FSRQ,-7.41440010070801,176.960800170898,1.34,9.93297631646239e-12,1.4125375446227496e+46,3.733669873575301e+17,4.257903316312993e-13,6.927337984709959e-15,6.146944363465329e-13,0.005028294393116616,8.101781155789512e-05,0.007289233443572255,2.665824285181957,3.79e+16,0.33,14.1,5.64e+17,3.51e+42,16500.0,1010.0,1.86,2.99e+45,4.947903128830114e+43,4.284707585008519e+45,4330000.0,100,1.0
4C +31.63,3FGL J2036.8-2830,CGRABS J2203+3145,FSRQ,31.73189,330.93917,0.29,7.424392e-12,1.5848931924611238e+46,3.980524080092677e+17,3.8982423501866584e-13,1.6423999557324772e-13,3.8982423501866584e-13,0.03901243205606901,0.016433486569255886,0.03901243205606901,0.11295554962546858,3.54e+16,9.33,8.08,3.97e+17,3.35e+42,2870.0,10.0,2.26,1.15e+45,4.849509789428697e+44,1.15e+45,100000.0,100,1.0
S4 1842+68,3FGL J2036.8-2830,CGRABS J1842+6809,FSRQ,68.1686019897461,280.584594726563,0.47,4.22814300932162e-12,1.2022644346174082e+45,1.0799871535135171e+17,3.8225435314871657e-13,1.5092726672915385e-13,1.0425081321244599e-12,0.031129255466831336,0.012440003677601471,0.08408618805077857,0.2653715633179014,1460000000000000.0,2.8,14.5,3.92e+17,2.44e+41,6980.0,143.0,1.76,2.9e+46,1.7524595316905854e+46,4.798969589835226e+46,244000.0,100,1.0
ZS 0214+083,3FGL J2036.8-2830,CGRABS J0217+0837,IBL,8.62339973449707,34.3162994384766,0.09,1.72638847661943e-11,1.2022644346174082e+43,1.2342710325868766e+16,3.204007451605255e-13,1.6241068535070154e-13,4.858627211654471e-13,0.013539198991895584,0.006984136387409242,0.02035500753386884,0.8196664294033026,1.14e+17,0.0447,7.41,0.0,4.01e+42,10500.0,647.0,1.75,3.05e+47,2.1283832838225925e+47,3.784860170292744e+47,1230000.0,100,1.0
PKS 2209+236,3FGL J2036.8-2830,CGRABS J2212+2355,FSRQ,23.9333992004395,333.019104003906,1.12,1.1002525279746298e-11,5.011872336272756e+45,2.2216878586563776e+17,3.068067100193356e-13,5.907611643988289e-14,5.377948917475529e-13,0.017761098932435264,0.003230598390994588,0.031734726934439135,0.517432371462846,3140000000000000.0,0.4,15.0,3.13e+17,2.62e+42,30100.0,11.8,1.92,4.06e+46,1.1947472335409685e+46,5.818031035162068e+46,545000.0,100,1.0
4C +51.37,3FGL J2036.8-2830,CGRABS J1740+5211,FSRQ,52.1926994323731,265.135711669922,1.38,2.3083764066900197e-11,1.9952623149688665e+46,4.443375717312755e+17,3.02307201582196e-13,1.5817323007684493e-13,3.2486935482059584e-13,0.00196771860923561,0.0010293921157023065,0.0021146265234887373,7.176384266585948,1.13e+17,0.925,28.6,7.36e+17,6.53e+41,3070.0,295.0,1.75,5.68e+43,2.97233897139089e+43,6.103772464865083e+43,2950000.0,100,1.0
PKS 2155-152,3FGL J2036.8-2830,CGRABS J2158-1501,FSRQ,-15.023699760437,329.527496337891,0.67,9.52370300677519e-12,3.4673685045253093e+45,1.8514065488803146e+17,2.6173647193543547e-13,1.4693561241740858e-13,3.494823771725064e-13,0.00025945142349386433,0.00014396307299750096,0.0003494852326523889,13.226320598800816,1.84e+16,1.11,27.4,5.33e+17,3.26e+41,253000.0,35.0,2.64,7.74e+43,4.3525218569733017e+43,1.0321455884944128e+44,3770000.0,100,1.0
PKS 2355-534,3FGL J2036.8-2830,CGRABS J2357-5311,FSRQ,-53.191898345947294,359.463012695313,1.01,7.591608765233899e-12,1.6982436524617322e+46,4.1039511833513645e+17,2.1844621699300028e-13,6.425240261024704e-14,3.6164695313889404e-13,0.0054946788934396515,0.0016157322444445494,0.009098959825886264,1.1492283789312419,6.37e+16,1.14,23.4,6.13e+17,4.02e+41,312000.0,123.0,2.52,1.7e+44,5.002636199555779e+43,2.813189069903408e+44,713000.0,100,1.0
1H 1914-194,3FGL J2036.8-2830,CGRABS J1917-1921,HBL,-19.3628005981445,289.438385009766,0.14,3.93754959193693e-11,7.079457843841402e+43,2.777109823320472e+16,2.1792482082579632e-13,1.5236856728891555e-14,5.166868672186318e-13,0.010894156183789687,0.0007719988458939686,0.025792236010372865,0.5625912060342584,8.75e+16,0.0452,8.77,0.0,2.42e+42,22700.0,37.2,1.43,2.42e+47,6.166878130110018e+46,3.726622193063971e+47,713000.0,100,1.0
TXS 1308+554,3FGL J2036.8-2830,CGRABS J1311+5513,FSRQ,55.249698638916,197.729095458984,0.93,3.4650303459837797e-12,3.3884415613920345e+45,1.820549773065643e+17,1.978765170013755e-13,6.727904272513387e-14,4.667224192374369e-13,0.014609348982027627,0.005033560670942803,0.03422896051531997,0.31157054395974754,1050000000000000.0,0.934,18.3,2.99e+17,3.25e+41,4060.0,347.0,1.54,3.11e+46,1.7488815213419858e+46,4.789171496045021e+46,312000.0,100,1.0
3C 371,3FGL J2036.8-2830,CGRABS J1806+6949,LBL,69.8270034790039,271.710784912109,0.05,3.55575291433041e-11,7.762471166286927e+42,9257032744401574.0,1.491998655856488e-13,8.767200635458923e-14,2.239592314016128e-13,0.006178902746370511,0.0036799400923871626,0.009196229608848517,0.7809270670973288,9.75e+16,0.0419,9.18,0.0,1.8e+42,13700.0,293.0,1.68,1.04e+47,7.798899777057541e+46,1.2905752711817882e+47,935000.0,100,1.0
B2 2113+29,3FGL J2036.8-2830,CGRABS J2115+2933,FSRQ,29.5456008911133,318.873687744141,1.51,2.3495313333787797e-11,1e+46,3.147391133096535e+17,1.259295514412143e-13,5.69788193489613e-14,1.6808628285987007e-13,0.0016703205270690684,0.000755072616084307,0.00223072344572704,2.729284007326095,3.23e+16,0.454,23.1,5e+17,1.36e+42,5960.0,29.6,1.66,2.6e+44,1.1782117457762126e+44,3.4671557236246422e+44,2270000.0,100,1.0
OJ 451,3FGL J2036.8-2830,CGRABS J0833+4224,FSRQ,42.3988990783691,128.47590637207,0.25,6.5888644366907096e-12,5.011872336272756e+43,2.159974307027034e+16,1.2565533142609655e-13,1.2565358671887783e-14,1.800668702888069e-13,0.0014270682049530316,0.00014270328356038136,0.0020450310405620313,2.7290081883244754,4.37e+16,1.94,25.6,3.32e+16,9.86e+39,2560.0,76.4,1.54,2.32e+42,2.3199999999999998e+41,3.324589162949753e+42,981000.0,100,1.0
PKS 0735+17,3FGL J2036.8-2830,CGRABS J0738+1742,IBL,17.706600189209,114.538696289063,0.42,5.7670621750327594e-11,1.2022644346174082e+45,1.0799871535135171e+17,1.1629144108522673e-13,5.5738128281094195e-14,1.9619097207544294e-13,0.0018837218612193678,0.0008404099985727777,0.0033866806784041757,2.1957082309249407,2.63e+17,0.0723,5.77,0.0,3.39e+43,43900.0,225.0,1.21,5.63e+46,2.946174015656816e+46,8.669786341714941e+46,3620000.0,100,1.0
PKS 1451-375,3FGL J2036.8-2830,CGRABS J1454-3747,FSRQ,-37.7499008178711,223.615798950195,0.31,8.40519927963745e-12,1.2022644346174082e+44,3.3942453396139104e+16,1.1531592235296146e-13,6.001561846199558e-14,1.4349434122126763e-13,0.002153886973150879,0.0011162691176938562,0.0026858540328086452,1.5054464302243198,8.37e+16,1.04,14.8,5.6e+16,2.1e+41,4180.0,40.4,1.67,3.77e+44,1.972837662349235e+44,4.6783353580339824e+44,995000.0,100,1.0
PKS 0118-272,3FGL J2036.8-2830,CGRABS J0120-2701,HBL,-27.0228996276855,20.1226997375488,0.56,3.5584819813028197e-11,1.4125375446227496e+45,1.1725574809575326e+17,1.0676677134147605e-13,4.6614333643824554e-14,1.4150927911866788e-13,0.007421592328886021,0.003237659374705133,0.009839493271000038,0.32994769995641565,2.91e+17,0.0494,10.5,0.0,9.41e+42,58200.0,670.0,1.75,9.41e+47,6.110681153132149e+47,1.0866498475927802e+48,415000.0,100,1.0
B2 1348+30B,3FGL J2036.8-2830,CGRABS J1350+3034,FSRQ,30.5587997436523,207.714797973633,0.71,8.939653704798099e-12,6.025595860743594e+45,2.4376852893590813e+17,9.962077873726829e-14,1.8719351624083082e-14,1.7112525541045526e-13,0.003664577705325101,0.000719735941478549,0.006236600148610649,0.9237529494747231,2270000000000000.0,0.578,21.6,7.45e+17,4.91e+41,3190.0,358.0,2.08,4.12e+45,1.616766180495629e+45,5.494108300512894e+45,792000.0,100,1.0
PKS 0347-211,3FGL J2036.8-2830,CGRABS J0349-2102,FSRQ,-21.0576000213623,57.469898223877,2.94,1.5213545700998297e-11,7.079457843841402e+46,8.331329469961417e+17,9.727111886260286e-14,2.6629971313072266e-14,1.3941240330617008e-13,0.0003275251842067102,8.955984110240734e-05,0.00046975430556270515,5.924333134176153,1.97e+17,0.234,26.2,2.26e+18,1.96e+42,5110.0,2460.0,1.78,1.3e+44,3.559945524543669e+43,1.8629163413080512e+44,3950000.0,100,1.0
PMN J1903-6749,3FGL J2036.8-2830,CGRABS J1903-6749,FSRQ,-67.8068008422852,285.743194580078,0.25,1.21383163936839e-11,7.079457843841402e+43,2.777109823320472e+16,7.641585052456557e-14,1.0058245359894762e-14,1.1021357402853774e-13,0.0020387020067554485,0.0002657956820006844,0.0029540795499833237,1.1482061370017065,1.16e+17,0.222,7.22,4.27e+16,1.64e+42,3880.0,251.0,1.14,2.11e+45,2.8137302218646136e+44,3.023656523199991e+45,1250000.0,100,1.0
OI 280,3FGL J2036.8-2830,CGRABS J0750+1231,FSRQ,12.4940004348755,117.700996398926,0.89,1.0174367424953299e-11,2.3988329190195045e+46,4.8753705787181626e+17,6.576718265542364e-14,4.484596125113264e-14,7.683553780438052e-14,0.00019385080238702027,0.00011976587586461664,0.00023700303286059354,9.327097332022632,8.48e+16,0.739,16.2,1.76e+18,2.41e+42,69500.0,204.0,2.66,1e+45,6.978305848598664e+44,1.1547819846894582e+45,3870000.0,100,1.0
PKS 0208-512,3FGL J2036.8-2830,CGRABS J0210-5101,FSRQ,-51.0218009948731,32.6945991516113,1.0,4.74044623000047e-11,1.9952623149688665e+46,4.443375717312755e+17,5.010078599459508e-14,3.248471904064032e-14,5.385623695112561e-14,0.00038227836216214007,0.0002473357249508094,0.00041111934329511016,5.187503397568248,2e+17,0.516,19.2,8.51e+17,3.45e+42,8110.0,193.0,2.14,1.83e+44,1.1883683857844666e+44,1.9665323258280107e+44,2620000.0,100,1.0
4C +01.02,3FGL J2036.8-2830,CGRABS J0108+0135,FSRQ,1.5819000005722,17.1695003509522,2.11,1.15525790322923e-10,7.943282347242789e+46,8.917608210440182e+17,4.853444776102005e-14,7.451766290859008e-15,5.216914847212867e-14,0.0001616912923425918,2.4460584985200955e-05,0.00017402469831862133,6.13038551509777,2e+17,0.277,21.4,3.21e+18,2.55e+43,14500.0,181.0,2.26,3.13e+44,4.819970026566209e+43,3.3635225026457234e+44,3490000.0,100,1.0
OK 630,3FGL J2036.8-2830,CGRABS J0921+6215,FSRQ,62.2708015441895,140.418502807617,1.45,1.47136886008425e-11,1.0964781961431829e+46,3.3016750121698944e+17,2.3584539334843392e-14,7.421638472084555e-15,3.1525460473833477e-14,6.0755392468718356e-05,1.8686105933336823e-05,8.210147532966454e-05,8.306414987245251,2.55e+16,0.637,27.9,1.02e+18,3.2e+42,18800.0,39.5,2.7,9.2e+43,2.909295447354909e+43,1.2268397175902582e+44,2850000.0,100,1.0
PKS 0502+049,3FGL J2036.8-2830,CGRABS J0505+0459,FSRQ,4.99940013885498,76.3431015014648,0.95,6.949590902749489e-11,7.943282347242789e+45,2.807966599135144e+17,2.0236917520720786e-14,2.292129445541681e-15,2.0236917520720786e-14,5.61024894071937e-05,5.687789541947342e-06,5.61024894071937e-05,7.472043054123452,6.97e+16,0.539,29.8,1.06e+18,4.94e+41,8270.0,81.1,2.15,9.5e+43,1.0970428854549854e+43,9.5e+43,1620000.0,100,1.0
OI 275,3FGL J2036.8-2830,CGRABS J0748+2400,FSRQ,24.0165996551514,117.163803100586,0.41,8.08344884084544e-12,1e+44,3.085677581467191e+16,1.8193905714447135e-14,3.208582763363428e-15,1.956601096211286e-14,0.0002038831768188584,3.5658750229363676e-05,0.00021942204090606558,2.493004126776033,1.4e+17,0.597,16.0,5.77e+16,4.08e+41,21000.0,140.0,2.72,1.13e+44,2.0094557333439825e+43,1.2143068460030886e+44,1690000.0,100,1.0
PKS 1329-049,3FGL J2036.8-2830,CGRABS J1332-0509,FSRQ,-5.16109991073608,203.019607543945,2.15,3.9658425848854196e-11,6.025595860743593e+46,7.714193953667978e+17,1.805295981739707e-14,3.995735123569583e-15,1.9526295946191928e-14,0.0001788917323845808,3.5145294343601396e-05,0.00019546347007528826,4.739647728514418,6.99e+16,0.395,25.0,1.79e+18,1.39e+43,2990.0,12.2,1.68,7.52e+44,1.7832730266575649e+44,8.081050868976307e+44,2090000.0,100,1.0
B2 1846+32A,3FGL J2036.8-2830,CGRABS J1848+3219,FSRQ,32.2949981689453,282.105010986328,0.8,2.2336668972777796e-11,3.801893963205597e+45,1.9439768763243306e+17,1.3657218422919133e-14,1.0197457695560703e-14,1.7017919389376564e-14,4.24946340093478e-05,3.120440853267913e-05,5.378864757628141e-05,8.59298133179664,3.37e+16,0.562,25.9,4.31e+17,6.53e+41,59500.0,192.0,2.8,7.06e+43,5.294253117887138e+43,8.761020590907139e+43,2110000.0,100,1.0
PKS 1335-127,3FGL J2036.8-2830,CGRABS J1337-1257,FSRQ,-12.9517002105713,204.42399597168,0.54,1.94088373844936e-11,3.019951720401995e+45,1.7279794456216272e+17,1.219390410280611e-14,7.037585718957398e-15,1.7218899036582602e-14,0.0006140616464177243,0.00036727815056615266,0.0008488473385909691,0.6620991322316495,2.4e+16,0.677,20.8,5.4e+17,2.29e+42,23700.0,32.1,2.74,9.97e+44,6.9573709310528675e+44,1.2372149474694644e+45,556000.0,100,1.0
PKS 0736+01,3FGL J2036.8-2830,CGRABS J0739+0137,FSRQ,1.62160003185272,114.819999694824,0.19,6.11685493923098e-11,1e+45,9.874168260695013e+16,1.1689445069357947e-14,9.311104856021917e-15,1.2617292047721368e-14,6.061324553341705e-05,4.7206829321438625e-05,6.59747614243573e-05,9.761392231835599,4.62e+16,0.783,17.6,2.17e+17,1.84e+41,7360.0,21.6,2.02,6.29e+43,5.068747361019721e+43,6.759283240141086e+43,2060000.0,100,1.0
3C 345,3FGL J2036.8-2830,CGRABS J1642+3948,FSRQ,39.8163986206055,250.734100341797,0.59,2.7863308882381e-11,6.025595860743594e+45,2.4376852893590813e+17,1.116752243516742e-14,8.968016568236897e-15,1.2931747026773935e-14,2.6686948752805724e-05,2.099778095509991e-05,3.139758839018302e-05,8.734200558012578,9.74e+16,1.06,25.7,6.64e+17,4.38e+41,56900.0,131.0,2.65,4.79e+43,3.859984079377498e+43,5.531405706662506e+43,1670000.0,100,1.0
OG 050,3FGL J2036.8-2830,CGRABS J0532+0732,FSRQ,7.54930019378662,83.1719970703125,1.25,5.91557774987095e-11,3.9810717055349855e+46,6.29478226619307e+17,1.0995502859607697e-14,8.228573193244782e-15,1.2713505609779032e-14,3.4085585080180745e-05,2.5223939332456272e-05,3.968224383837437e-05,7.099652666517626,2e+17,0.369,21.9,2.35e+18,3.13e+42,30700.0,39.3,2.12,1.22e+44,9.148709353855961e+43,1.408834021321139e+44,2330000.0,100,1.0
PKS 0252-549,3FGL J2036.8-2830,CGRABS J0253-5441,FSRQ,-54.6935997009277,43.3061981201172,0.54,4.23103349231346e-12,6.025595860743594e+45,2.4376852893590813e+17,6.6053068873527e-15,2.9498037317468173e-15,1.0317463095468352e-14,1.536521552172436e-05,6.245276510588268e-06,2.6069058309653808e-05,9.078863233410589,2e+17,1.16,14.2,9.06e+17,4.51e+41,47300.0,30.0,2.05,1.63e+44,7.386481329289332e+43,2.510080237476972e+44,3170000.0,100,1.0
PKS 0035-252,3FGL J2036.8-2830,CGRABS J0038-2459,FSRQ,-24.9899005889893,9.56519985198975,1.2,3.42341953396552e-12,8.511380382023759e+44,9.257032744401573e+16,3.93725154528138e-15,2.209274833338318e-15,6.07930917156251e-15,0.00022626777998524514,0.00012681657388203513,0.0003498653072903201,0.3317916380692534,2e+17,1.01,20.1,1.53e+17,8.15e+41,13500.0,10.6,1.79,4.89e+44,2.749849080180807e+44,7.530240712430915e+44,193000.0,100,1.0
4C +05.64,3FGL J2036.8-2830,CGRABS J1550+0527,FSRQ,5.47249984741211,237.696502685547,1.42,9.31255766944972e-12,1.9952623149688665e+46,4.443375717312755e+17,3.711162006575658e-15,1.0941276625502255e-15,6.017066595915202e-15,5.046122892331945e-05,1.199292745309508e-05,8.953532402712972e-05,5.355018520373604,4.83e+16,0.665,21.7,1.59e+18,2.51e+42,6440.0,18.0,2.1,5.24e+44,1.9135124268153493e+44,7.508985868041683e+44,1900000.0,100,1.0
PKS 1034-293,3FGL J2036.8-2830,CGRABS J1037-2934,FSRQ,-29.5568008422852,159.356399536133,0.31,5.15757402064221e-12,6.025595860743593e+43,2.4685420651737532e+16,3.5153949030949455e-15,2.3285077494778416e-15,5.326275013618832e-15,0.00016920954590353814,0.00011243664920338486,0.0002556925580966094,0.6587322241483236,4.62e+16,0.671,11.8,7.57e+16,7.01e+41,36400.0,155.0,2.66,1.53e+45,1.2329385472750672e+45,1.898634773950131e+45,723000.0,100,1.0
PKS 2255-282,3FGL J2036.8-2830,CGRABS J2258-2758,FSRQ,-27.9843006134033,344.52880859375,0.93,2.6900391636441896e-11,3.0199517204019943e+46,5.461649319196928e+17,3.3147289447175222e-15,3.988425004295248e-17,4.776201033766026e-15,0.00013576335486725503,1.767791277647614e-06,0.00019439813176753753,0.9529166544221472,1.54e+17,0.392,11.3,1.51e+18,1.57e+43,10800.0,70.0,1.88,3.06e+45,1.0398517486564233e+44,3.797269547900262e+45,1590000.0,100,1.0
OP 313,3FGL J2036.8-2830,CGRABS J1310+3220,FSRQ,32.3546981811523,197.632400512695,1.0,2.71042389921039e-11,5.011872336272756e+45,2.2216878586563776e+17,1.8727030955138708e-15,3.4143710691688956e-16,2.081524216091019e-15,3.63333243796877e-05,5.664196214382563e-06,4.077193001398822e-05,5.162029454512542,2.28e+16,0.903,31.5,5.89e+17,7.92e+41,9080.0,80.8,2.44,1.49e+44,4.080245255053898e+43,1.601165664198763e+44,982000.0,100,1.0
PKS 0135-247,3FGL J2036.8-2830,CGRABS J0137-2430,FSRQ,-24.516300201416,24.4069004058838,0.83,1.64448402811823e-11,2.511886431509572e+46,4.967940906162178e+17,1.1870481670560795e-15,7.035296180631562e-16,1.2802379476141155e-15,8.19288461799206e-06,4.622456282778971e-06,8.914270541382238e-06,6.385641371207383,1.98e+17,0.423,23.9,1.95e+18,1.25e+42,13500.0,42.9,2.66,6.02e+43,3.63786426923356e+43,6.469139126494331e+43,1320000.0,100,1.0
PKS 0454-46,3FGL J2036.8-2830,CGRABS J0455-4615,FSRQ,-46.2871017456055,73.9462966918945,0.86,1.60225582801488e-11,1.9952623149688665e+46,4.443375717312755e+17,1.0330828510579267e-15,7.441636272520193e-16,2.618559803586447e-15,1.9099884158222007e-05,1.3044437223806545e-05,5.4727051671348643e-05,5.417538703790265,2e+17,0.486,12.5,1.69e+18,4.77e+42,13600.0,96.4,1.9,8.2e+44,6.60790593964415e+44,1.4581891162319167e+45,2410000.0,100,1.0
Ton 599,3FGL J2036.8-2830,CGRABS J1159+2914,FSRQ,29.244800567627,179.884002685547,0.72,7.892357600791659e-11,4.4668359215096165e+45,2.0982607553976902e+17,1.0221399138461459e-15,7.081264180524355e-16,1.2757201200256328e-15,3.4987876960059975e-06,2.3330844901530796e-06,4.495589830956176e-06,7.09919163921291,9.99e+16,0.468,27.6,7.5e+17,4.82e+41,32100.0,151.0,2.34,2.3e+43,1.605010345177693e+43,2.8541568497289554e+43,1230000.0,100,1.0
PKS 0400-319,3FGL J2036.8-2830,CGRABS J0402-3147,FSRQ,-31.7926006317139,60.548301696777294,1.29,3.56867833894992e-12,1e+45,9.874168260695013e+16,9.217463092615064e-16,1.0583240575391625e-16,1.647376895698208e-15,3.3556343164245516e-06,3.739278014250082e-07,6.151189026146044e-06,6.229534647734796,1.11e+17,0.846,26.4,2.58e+17,3.43e+41,144000.0,146.0,2.74,2.09e+43,2.4134943480009675e+42,3.7166039669813486e+43,1630000.0,100,1.0
